dataset,model_id,model_family,prediction_stage,class_name,precision,recall,f1,support
student_por,cnn_bilstm_por,cnn_bilstm,S2_LATE_G1_G2,Medium,0.9613259668508287,0.8325358851674641,0.8923076923076924,418
student_por,cnn_bilstm_por,cnn_bilstm,S2_LATE_G1_G2,High,0.8581081081081081,0.9694656488549618,0.910394265232975,131
student_por,cnn_only_por,cnn_only,S0_EARLY_NO_GRADE,Low,0.4228187919463087,0.63,0.5060240963855421,100
student_por,cnn_only_por,cnn_only,S0_EARLY_NO_GRADE,Medium,0.725,0.41626794258373206,0.5288753799392097,418
student_por,cnn_only_por,cnn_only,S0_EARLY_NO_GRADE,High,0.34615384615384615,0.6870229007633588,0.46035805626598464,131
student_por,cnn_only_por,cnn_only,S1_MID_G1_ONLY,Low,0.5527950310559007,0.89,0.6819923371647509,100
student_por,cnn_only_por,cnn_only,S1_MID_G1_ONLY,Medium,0.913946587537092,0.7368421052631579,0.8158940397350993,418
student_por,cnn_only_por,cnn_only,S1_MID_G1_ONLY,High,0.7483443708609272,0.8625954198473282,0.8014184397163121,131
student_por,cnn_only_por,cnn_only,S2_LATE_G1_G2,Low,0.6143790849673203,0.94,0.7430830039525692,100
student_por,cnn_only_por,cnn_only,S2_LATE_G1_G2,Medium,0.967930029154519,0.7942583732057417,0.8725361366622865,418
student_por,cnn_only_por,cnn_only,S2_LATE_G1_G2,High,0.8235294117647058,0.9618320610687023,0.8873239436619719,131
student_por,decision_tree_por,decision_tree,S0_EARLY_NO_GRADE,Low,0.25149700598802394,0.42,0.3146067415730337,100
student_por,decision_tree_por,decision_tree,S0_EARLY_NO_GRADE,Medium,0.6853582554517134,0.5263157894736842,0.5953991880920162,418
student_por,decision_tree_por,decision_tree,S0_EARLY_NO_GRADE,High,0.34782608695652173,0.42748091603053434,0.3835616438356164,131
student_por,decision_tree_por,decision_tree,S1_MID_G1_ONLY,Low,0.5774647887323944,0.82,0.6776859504132231,100
student_por,decision_tree_por,decision_tree,S1_MID_G1_ONLY,Medium,0.8702064896755162,0.7057416267942583,0.7793923381770145,418
student_por,decision_tree_por,decision_tree,S1_MID_G1_ONLY,High,0.625,0.8015267175572519,0.7023411371237458,131
student_por,decision_tree_por,decision_tree,S2_LATE_G1_G2,Low,0.6083333333333333,0.73,0.6636363636363637,100
student_por,decision_tree_por,decision_tree,S2_LATE_G1_G2,Medium,0.8984375,0.8253588516746412,0.8603491271820449,418
student_por,decision_tree_por,decision_tree,S2_LATE_G1_G2,High,0.8206896551724138,0.9083969465648855,0.8623188405797102,131
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S0_EARLY_NO_GRADE,Low,0.3888888888888889,0.28,0.32558139534883723,100
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S0_EARLY_NO_GRADE,Medium,0.6645962732919255,0.7679425837320574,0.7125416204217536,418
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S0_EARLY_NO_GRADE,High,0.40425531914893614,0.2900763358778626,0.3377777777777778,131
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S1_MID_G1_ONLY,Low,0.6049382716049383,0.49,0.5414364640883977,100
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S1_MID_G1_ONLY,Medium,0.7838427947598253,0.8588516746411483,0.819634703196347,418
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S1_MID_G1_ONLY,High,0.7545454545454545,0.6335877862595419,0.6887966804979253,131
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S2_LATE_G1_G2,Low,0.7222222222222222,0.65,0.6842105263157895,100
