dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,seed_macro_f1_mean,seed_macro_f1_std,low_recall,low_f1,rank_macro_f1,rank_balanced_accuracy,rank_pr_auc,rank_low_recall,rank_low_f1
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S0_EARLY_NO_GRADE,0.5963020030816641,0.44600630653664,0.4859134937765835,0.44600630653664,0.4586335978494562,0.5772718424654323,0.46172814208433843,0.6435136114169135,0.606680649119626,1.1627422814349178,0.21173480252044546,42,71,0.4586335978494562,0.0,0.28,0.32558139534883723,5,7,9,7,7
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S1_MID_G1_ONLY,0.7565485362095532,0.6608131536335634,0.7144421736367393,0.6608131536335634,0.6832892825942233,0.7503595030664729,0.7632393022987921,0.8849384181533987,0.3693004463455969,0.7141485469467678,0.14292536549762647,32,51,0.6832892825942233,0.0,0.49,0.5414364640883977,10,10,9,10,10
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S2_LATE_G1_G2,0.8597842835130971,0.8019875330240939,0.8371087488399561,0.8019875330240939,0.8181733953864985,0.8580226588377352,0.8866282588139746,0.944883701809825,0.22058357495528633,0.4699874131395251,0.08611647626356411,25,35,0.8181733953864985,0.0,0.65,0.6842105263157895,8,9,8,9,8
student_por,logistic_regression_por,logistic_regression,S0_EARLY_NO_GRADE,0.4268104776579353,0.5514179967615082,0.47508784462506953,0.5514179967615082,0.43506042017572094,0.4168520463186213,0.4898441864844238,0.6802212706994971,0.6220063707113146,0.9921334973141045,0.11331880193832565,83,24,0.435060420175721,5.551115123125783e-17,0.58,0.46586345381526106,8,5,7,5,5
student_por,logistic_regression_por,logistic_regression,S1_MID_G1_ONLY,0.7781201848998459,0.8201341660883646,0.7259084265545986,0.8201341660883646,0.757211187295304,0.7833118751023127,0.8349277816641166,0.9246297543878196,0.3304898764527194,0.5434808851841012,0.04755074786499696,61,16,0.757211187295304,0.0,0.84,0.6857142857142857,4,4,4,4,2
student_por,logistic_regression_por,logistic_regression,S2_LATE_G1_G2,0.8597842835130971,0.8908020745827093,0.8093417792541175,0.8908020745827093,0.8404435657780885,0.8633287408412522,0.9268420418438185,0.9646184848957525,0.2102679289425792,0.36339936660789535,0.041286117858219326,47,11,0.8404435657780885,0.0,0.89,0.7542372881355932,5,3,2,4,2
student_por,mlp_por,mlp,S0_EARLY_NO_GRADE,0.6409861325115562,0.40342111350548476,0.5498976014439932,0.40342111350548476,0.4002416046878521,0.5688123674952156,0.507287481667945,0.701215913389959,0.48753532608852884,0.7943658942273174,0.06064217812350363,24,80,0.4002058596895953,0.027569442415931407,0.2,0.27586206896551724,10,10,3,10,10
student_por,mlp_por,mlp,S1_MID_G1_ONLY,0.8058551617873652,0.733444123841874,0.7757847533632286,0.733444123841874,0.7523371666173523,0.8026522213953937,0.8274153687855651,0.9222882492519685,0.2664523297483898,0.4325137567843637,0.030445747764209618,27,40,0.7360994014866254,0.006911750203272726,0.6,0.6417112299465241,7,9,6,9,9
student_por,mlp_por,mlp,S2_LATE_G1_G2,0.884437596302003,0.8491799067411763,0.8557001923129679,0.8491799067411763,0.8520445326449201,0.8834971785234772,0.9236846001059642,0.9645169366172959,0.16322127118655247,0.2828465498241753,0.021603280704959718,22,29,0.8374379046126386,0.01174246227866919,0.71,0.7357512953367875,2,6,6,7,5
student_por,random_forest_por,random_forest,S0_EARLY_NO_GRADE,0.5084745762711864,0.5882720333102013,0.5220536592218007,0.5882720333102013,0.508215391459486,0.517228837181338,0.5165690127270833,0.7161395557901167,0.5719715989645038,0.9296577691567597,0.04180946824529373,64,25,0.5106421941491683,0.004377290391692337,0.6,0.5309734513274337,3,3,2,4,2
student_por,random_forest_por,random_forest,S1_MID_G1_ONLY,0.810477657935285,0.8214957936131099,0.7585055637772253,0.8214957936131099,0.783545566391818,0.8144936825818174,0.8203914509688661,0.9224413618646364,0.3025138714258972,0.5142322044220073,0.09401695038631126,51,20,0.7790554551495305,0.0028229237884237544,0.8,0.6926406926406926,1,2,7,6,1
student_por,random_forest_por,random_forest,S2_LATE_G1_G2,0.8798151001540832,0.8815011505168194,0.8376700232091506,0.8815011505168194,0.8570554572996425,0.8817063804581269,0.9258060189109352,0.9670963456623162,0.17536787710517218,0.3111115511899142,0.047892358541987125,34,16,0.8584093168712004,0.0032539651153966533,0.84,0.7706422018348624,1,5,3,5,1
student_por,svm_por,svm,S0_EARLY_NO_GRADE,0.6086286594761171,0.4352540268088681,0.4931094754734529,0.4352540268088681,0.4492991583132428,0.5799641469634308,0.4688769113412062,0.67322201650551,0.5371142202551853,0.8792870743809124,0.1426245012763951,36,73,0.4476122993548125,0.002659168163964427,0.24,0.3,7,9,8,9,9
student_por,svm_por,svm,S1_MID_G1_ONLY,0.8012326656394453,0.7429424011103402,0.76417547409072,0.7429424011103402,0.752930713800279,0.7997654309371331,0.803127417500562,0.9159242090678115,0.28480440744186314,0.46005173283617595,0.029612933396361917,31,36,0.7538733422053211,0.002430863713233363,0.64,0.6564102564102564,6,8,8,7,8
student_por,svm_por,svm,S2_LATE_G1_G2,0.8551617873651772,0.7682062894919465,0.8483849483849483,0.7682062894919465,0.799814559254787,0.8489617657292053,0.8772280256613237,0.9526647125980108,0.21301904940636449,0.36885507781204563,0.06258952607748491,16,46,0.8013843229328417,0.002009682042842313,0.54,0.6352941176470588,9,10,9,10,10
student_por,xgboost_por,xgboost,S0_EARLY_NO_GRADE,0.6456086286594761,0.4384995799700501,0.5595213263805322,0.4384995799700501,0.4533470507544582,0.5955426835841149,0.5168320704641282,0.7019357673006755,0.4853704742032169,0.7994783509849298,0.07468948259596733,24,74,0.4555098793538173,0.007694901501160387,0.26,0.3466666666666667,6,8,1,8,6
student_por,xgboost_por,xgboost,S1_MID_G1_ONLY,0.8120184899845917,0.7512298963926124,0.7812204080421247,0.7512298963926124,0.7647507114873956,0.8097797066479916,0.8293819023456187,0.921044979522549,0.2702871778780209,0.4405715049210339,0.042169221865133416,23,37,0.7615053211355318,0.00508731612924488,0.63,0.6774193548387096,3,7,5,8,6
student_por,xgboost_por,xgboost,S2_LATE_G1_G2,0.8798151001540832,0.829655697188843,0.8586275038843865,0.829655697188843,0.8428343826024025,0.8778819117597916,0.9240453789021051,0.9620481289183399,0.16505610711918237,0.28936374581814217,0.030142919188752403,20,33,0.8443149580971239,0.001907395489635985,0.67,0.7165775401069518,4,7,5,8,7
