dataset,scenario,model,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,recall_low,f1_low,brier,nll
student-por,midterm,LogisticRegression_balanced,0,0.8076923076923077,0.8370646766169155,0.7501683501683502,0.8370646766169155,0.7808815070463043,0.75,0.631578947368421,0.2988349004841472,0.4715225357679981
student-por,midterm,LogisticRegression_balanced,1,0.7980769230769231,0.8410329305851695,0.748015873015873,0.8410329305851695,0.7801264679313461,1.0,0.8,0.33708792722413017,0.5581670564085338
student-por,midterm,LogisticRegression_balanced,2,0.7692307692307693,0.8429430229803364,0.7260644998740237,0.8429430229803364,0.75552943225357,0.9375,0.6818181818181818,0.34873784518483614,0.610116823920094
student-por,midterm,LogisticRegression_balanced,3,0.8076923076923077,0.8569059464581853,0.760595925813317,0.8569059464581853,0.7902325361341754,1.0,0.7619047619047619,0.30896485093052767,0.49135819976365175
student-por,midterm,LogisticRegression_balanced,4,0.7475728155339806,0.7996933621933621,0.7133141762452108,0.7996933621933621,0.7326947637292465,0.8125,0.5777777777777777,0.3504338428342632,0.5579873315002398
student-por,midterm,RandomForest_balanced,0,0.8076923076923077,0.8370646766169155,0.7501683501683502,0.8370646766169155,0.7808815070463043,0.75,0.631578947368421,0.2854290918920231,0.4550393795815722
student-por,midterm,RandomForest_balanced,1,0.7980769230769231,0.8410329305851695,0.748015873015873,0.8410329305851695,0.7801264679313461,1.0,0.8,0.3263218539597156,0.9925892687719691
student-por,midterm,RandomForest_balanced,2,0.7692307692307693,0.8429430229803364,0.7260644998740237,0.8429430229803364,0.75552943225357,0.9375,0.6818181818181818,0.3353438465849781,0.9889756393926454
student-por,midterm,RandomForest_balanced,3,0.8076923076923077,0.8569059464581853,0.760595925813317,0.8569059464581853,0.7902325361341754,1.0,0.7619047619047619,0.2999168748166595,0.4902004612455909
student-por,midterm,RandomForest_balanced,4,0.7475728155339806,0.7996933621933621,0.7133141762452108,0.7996933621933621,0.7326947637292465,0.8125,0.5777777777777777,0.3515924836490428,0.7966820673475893
student-por,midterm,ExtraTrees_balanced,0,0.8076923076923077,0.8370646766169155,0.7501683501683502,0.8370646766169155,0.7808815070463043,0.75,0.631578947368421,0.28564339628796603,0.4551473667558562
student-por,midterm,ExtraTrees_balanced,1,0.7980769230769231,0.8410329305851695,0.748015873015873,0.8410329305851695,0.7801264679313461,1.0,0.8,0.32704986108162853,0.9945175947794185
student-por,midterm,ExtraTrees_balanced,2,0.7692307692307693,0.8429430229803364,0.7260644998740237,0.8429430229803364,0.75552943225357,0.9375,0.6818181818181818,0.3363878800751302,0.9904660265264469
student-por,midterm,ExtraTrees_balanced,3,0.8076923076923077,0.8569059464581853,0.760595925813317,0.8569059464581853,0.7902325361341754,1.0,0.7619047619047619,0.30096315747325825,0.49229538241853743
student-por,midterm,ExtraTrees_balanced,4,0.7475728155339806,0.7996933621933621,0.7133141762452108,0.7996933621933621,0.7326947637292465,0.8125,0.5777777777777777,0.35029544568846976,0.795595108283483
student-por,midterm,HistGradientBoosting,0,0.8557692307692307,0.8302238805970149,0.817752849002849,0.8302238805970149,0.8167171185399668,0.625,0.6896551724137931,0.1956449913593768,0.34828553810019586
student-por,midterm,HistGradientBoosting,1,0.8173076923076923,0.7429815209665955,0.8311890838206627,0.7429815209665955,0.7571024800626319,0.875,0.8235294117647058,0.25712844309044003,0.5746147760938998
student-por,midterm,HistGradientBoosting,2,0.8365384615384616,0.8460524757166548,0.7950254175744371,0.8460524757166548,0.8152290622763063,0.8125,0.7878787878787878,0.21739343197752306,0.4242136182454107
student-por,midterm,HistGradientBoosting,3,0.8076923076923077,0.7122275527126273,0.8183982683982683,0.7122275527126273,0.7458183990442055,0.6875,0.7096774193548387,0.2553752965459323,0.407171410877124
student-por,midterm,HistGradientBoosting,4,0.7766990291262136,0.6651334776334776,0.7795815295815296,0.6651334776334776,0.701942501942502,0.5625,0.6,0.30183728573584656,0.4812883421754565
xAPI,default,LogisticRegression_balanced,0,0.7402597402597403,0.7739556692242114,0.7435990338164252,0.7739556692242114,0.7461076394667957,0.85,0.7906976744186046,0.3513420396817787,0.5454010790063784
xAPI,default,LogisticRegression_balanced,1,0.7012987012987013,0.7185848252344416,0.7070707070707071,0.7185848252344416,0.7120271657585091,0.9,0.8571428571428571,0.38012565193509795,0.5865688696640069
xAPI,default,LogisticRegression_balanced,2,0.7012987012987013,0.7232736572890026,0.7040673211781207,0.7232736572890026,0.7118456871743021,0.9,0.8372093023255814,0.3208914375892156,0.5035436555721661
xAPI,default,LogisticRegression_balanced,3,0.7922077922077922,0.802818096935744,0.8205413422321097,0.802818096935744,0.8030218835172396,0.8095238095238095,0.8947368421052632,0.3591277908689956,0.6765745323964838
xAPI,default,LogisticRegression_balanced,4,0.7105263157894737,0.7339481774264384,0.714726631393298,0.7339481774264384,0.7196397258090229,0.8,0.7804878048780488,0.3997487395699571,0.6670323230406754
xAPI,default,RandomForest_balanced,0,0.7792207792207793,0.7983375959079284,0.7795291625936788,0.7983375959079284,0.7858844858844859,0.95,0.8636363636363636,0.30502503896103894,0.5020878886816329
xAPI,default,RandomForest_balanced,1,0.7792207792207793,0.7820971867007672,0.7932432432432432,0.7820971867007672,0.7860792662954471,0.9,0.9,0.367268987012987,0.5802980792479865
xAPI,default,RandomForest_balanced,2,0.8051948051948052,0.811082693947144,0.8147186147186147,0.811082693947144,0.8127214170692433,0.9,0.9,0.31482462337662337,0.5241257647170936
xAPI,default,RandomForest_balanced,3,0.8051948051948052,0.8247602071131483,0.8046663481446089,0.8247602071131483,0.8098321928967089,0.9047619047619048,0.8636363636363636,0.33869942857142854,0.5653284313719967
xAPI,default,RandomForest_balanced,4,0.7236842105263158,0.7309178743961353,0.7320156695156695,0.7309178743961353,0.7297584620892891,0.7,0.7368421052631579,0.3651635789473684,0.6178081739725071
xAPI,default,ExtraTrees_balanced,0,0.7532467532467533,0.7646632566069907,0.76593837535014,0.7646632566069907,0.7563607085346216,0.95,0.8444444444444444,0.31625942857142864,0.4993837892089734
xAPI,default,ExtraTrees_balanced,1,0.7402597402597403,0.7411338448422847,0.7596491228070175,0.7411338448422847,0.7483932949049228,0.85,0.8717948717948718,0.34803719480519485,0.5470540315329826
