candidate_id,outer_fold,trial_id,state,value,resolved_config,thresholds,selected_epochs,parameter_count,fit_count,fit_runtime_seconds,wall_runtime_seconds,failure_reason,prune_reason
V2-A0,0,10,COMPLETE,0.8211629824334525,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 0, ""batch_size"": 256, ""dropout"": 0.22175927364314205, ""gradient_clip"": 1.0, ""learning_rate"": 0.00020844518678959359, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 7.3112298609116725e-06}","{""inner_macro_f1"": 0.8211629824334525, ""inner_operational_precision"": 0.7505710370031978, ""inner_operational_recall"": 0.8014634146341464, ""macro_threshold"": 0.4369999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.31599999999999995}","[22, 14]",32129,2,25.59070359999896,30.78895329999796,,
V2-A0,0,11,COMPLETE,0.8209652586071343,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 0, ""batch_size"": 256, ""dropout"": 0.3486343234084854, ""gradient_clip"": 1.0, ""learning_rate"": 0.0002768116887348543, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 4.4284035430046016e-06}","{""inner_macro_f1"": 0.8209652586071343, ""inner_operational_precision"": 0.7502272727272727, ""inner_operational_recall"": 0.8051219512195122, ""macro_threshold"": 0.4859999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.292}","[22, 11]",32129,2,23.08260949999385,27.958251100004414,,
V2-A0,1,0,COMPLETE,0.8279569051788842,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 0, ""batch_size"": 256, ""dropout"": 0.29285977682044, ""gradient_clip"": 1.0, ""learning_rate"": 0.0005411511028191479, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 1.4316824215739616e-05}","{""inner_macro_f1"": 0.8279569051788842, ""inner_operational_precision"": 0.7502244165170556, ""inner_operational_recall"": 0.8167603225018324, ""macro_threshold"": 0.5159999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3909999999999999}","[12, 18]",17409,2,22.20665989998088,27.174253499993934,,
V2-A0,1,1,COMPLETE,0.8255368364590263,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 64, ""batch_size"": 256, ""dropout"": 0.1195888104569407, ""gradient_clip"": 1.0, ""learning_rate"": 0.0002152725813558904, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 0.00013143994692379815}","{""inner_macro_f1"": 0.8255368364590263, ""inner_operational_precision"": 0.7501133786848072, ""inner_operational_recall"": 0.8082091375519179, ""macro_threshold"": 0.5209999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.31799999999999995}","[15, 16]",36289,2,24.28463169999304,29.27368120000756,,
V2-A0,1,2,COMPLETE,0.8239844583607259,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 32, ""batch_size"": 256, ""dropout"": 0.3138788334514462, ""gradient_clip"": 1.0, ""learning_rate"": 0.0004003663286194841, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 2.133114796633046e-06}","{""inner_macro_f1"": 0.8239844583607259, ""inner_operational_precision"": 0.75, ""inner_operational_recall"": 0.8077204984119228, ""macro_threshold"": 0.568, ""operational_feasible"": true, ""operational_threshold"": 0.36399999999999993}","[14, 16]",17441,2,22.913677499993355,27.987469400002738,,
V2-A0,1,3,COMPLETE,0.8246391820830024,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 0, ""batch_size"": 256, ""dropout"": 0.11369703019731348, ""gradient_clip"": 1.0, ""learning_rate"": 0.0019742272918121685, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 1.5356367633919313e-05}","{""inner_macro_f1"": 0.8246391820830024, ""inner_operational_precision"": 0.7512895267997309, ""inner_operational_recall"": 0.8184705594918152, ""macro_threshold"": 0.5389999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3469999999999999}","[14, 9]",17409,2,20.039337700000036,25.326238600013312,,
V2-A0,1,4,COMPLETE,0.8240853198442134,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 32, ""batch_size"": 128, ""dropout"": 0.2945236451776365, ""gradient_clip"": 1.0, ""learning_rate"": 0.0007954837285935423, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 5.17579702723637e-06}","{""inner_macro_f1"": 0.8240853198442134, ""inner_operational_precision"": 0.7506768953068592, ""inner_operational_recall"": 0.8128512093818715, ""macro_threshold"": 0.566, ""operational_feasible"": true, ""operational_threshold"": 0.3879999999999999}","[12, 12]",23713,2,29.14590479999606,34.11356450000312,,
V2-A0,1,5,COMPLETE,0.8258983260690135,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 64, ""batch_size"": 128, ""dropout"": 0.272230928037541, ""gradient_clip"": 1.0, ""learning_rate"": 0.0002384796835795483, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 0.00010887375530802556}","{""inner_macro_f1"": 0.8258983260690135, ""inner_operational_precision"": 0.7502238137869293, ""inner_operational_recall"": 0.8189591986318104, ""macro_threshold"": 0.4859999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.29499999999999993}","[17, 17]",21697,2,36.10324779999792,41.005401699992944,,
V2-A0,1,6,COMPLETE,0.8243447652458401,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 64, ""batch_size"": 128, ""dropout"": 0.10851929953811584, ""gradient_clip"": 1.0, ""learning_rate"": 0.00025636822058656034, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 3.2112126628041264e-05}","{""inner_macro_f1"": 0.8243447652458401, ""inner_operational_precision"": 0.7502814681378068, ""inner_operational_recall"": 0.8140728072318593, ""macro_threshold"": 0.5109999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.30699999999999994}","[6, 7]",36289,2,18.996124299999792,24.03146700000798,,
V2-A0,1,7,COMPLETE,0.8255106336510187,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 32, ""batch_size"": 256, ""dropout"": 0.23100783376661602, ""gradient_clip"": 1.0, ""learning_rate"": 0.0014472380398666948, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 1.1685040088264191e-05}","{""inner_macro_f1"": 0.8255106336510187, ""inner_operational_precision"": 0.7509613209681067, ""inner_operational_recall"": 0.8111409723918885, ""macro_threshold"": 0.4629999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.32299999999999995}","[4, 12]",29985,2,15.867540000006557,20.808284099999582,,
V2-A0,1,8,COMPLETE,0.8260560336899094,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 32, ""batch_size"": 256, ""dropout"": 0.24555072012591495, ""gradient_clip"": 1.0, ""learning_rate"": 0.0009845753624238996, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 7.84306528023799e-06}","{""inner_macro_f1"": 0.8260560336899094, ""inner_operational_precision"": 0.7501692620176033, ""inner_operational_recall"": 0.8121182506718788, ""macro_threshold"": 0.4899999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.29999999999999993}","[6, 10]",23713,2,14.812926400001745,19.81778130000748,,
V2-A0,1,9,COMPLETE,0.8240128864145382,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 32, ""batch_size"": 256, ""dropout"": 0.13213822864833644, ""gradient_clip"": 1.0, ""learning_rate"": 0.00025299803629931256, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 1.001342125725556e-06}","{""inner_macro_f1"": 0.8240128864145382, ""inner_operational_precision"": 0.7500566508044414, ""inner_operational_recall"": 0.808697776691913, ""macro_threshold"": 0.6429999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.38199999999999995}","[14, 14]",23713,2,21.80691470000602,26.770350400009196,,
V2-A0,1,10,COMPLETE,0.8257520725746244,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 0, ""batch_size"": 128, ""dropout"": 0.1762593911610099, ""gradient_clip"": 1.0, ""learning_rate"": 0.0005159436115510831, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 0.000829067746142803}","{""inner_macro_f1"": 0.8257520725746244, ""inner_operational_precision"": 0.750621188163542, ""inner_operational_recall"": 0.8118739311018812, ""macro_threshold"": 0.5529999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3929999999999999}","[4, 20]",17409,2,24.88831960000971,29.80249809999077,,
V2-A0,1,11,COMPLETE,0.8241502991334799,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 0, ""batch_size"": 256, ""dropout"": 0.34867415700234305, ""gradient_clip"": 1.0, ""learning_rate"": 0.0009083052361687897, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 4.2522948474225006e-05}","{""inner_macro_f1"": 0.8241502991334799, ""inner_operational_precision"": 0.7500565482922416, ""inner_operational_recall"": 0.8101636941118984, ""macro_threshold"": 0.4369999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.29599999999999993}","[7, 11]",24769,2,16.04731919999176,20.93857559999742,,
V2-A0,2,0,COMPLETE,0.8252709217769723,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 0, ""batch_size"": 256, ""dropout"": 0.2564338479727395, ""gradient_clip"": 1.0, ""learning_rate"": 0.0013831591205988117, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 3.0303502684572274e-06}","{""inner_macro_f1"": 0.8252709217769723, ""inner_operational_precision"": 0.7504557885141294, ""inner_operational_recall"": 0.8144941874845412, ""macro_threshold"": 0.4879999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3399999999999999}","[18, 11]",17409,2,20.930589099996723,25.956931399996392,,
V2-A0,2,1,COMPLETE,0.8234520570079285,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 0, ""batch_size"": 128, ""dropout"": 0.11342189666773991, ""gradient_clip"": 1.0, ""learning_rate"": 0.0014393653205395215, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 2.2360152662951693e-05}","{""inner_macro_f1"": 0.8234520570079285, ""inner_operational_precision"": 0.7500574844791906, ""inner_operational_recall"": 0.8068266139005689, ""macro_threshold"": 0.4759999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3379999999999999}","[5, 7]",17409,2,18.354948099993635,23.578851899990696,,
V2-A0,2,2,COMPLETE,0.8241636211739386,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 64, ""batch_size"": 128, ""dropout"": 0.11573159739872071, ""gradient_clip"": 1.0, ""learning_rate"": 0.00030540613142817616, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 1.916533040263842e-05}","{""inner_macro_f1"": 0.8241636211739386, ""inner_operational_precision"": 0.750464252553389, ""inner_operational_recall"": 0.7996537224833045, ""macro_threshold"": 0.5489999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3879999999999999}","[13, 7]",28993,2,25.984917900001165,30.83442229998764,,
