dataset,trial,seed,epochs,val_accuracy,val_f1_macro,best_epoch,case_params
student-mat,20,42,40,0.7457627118644068,0.6731436434222811,16,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.25, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00013551239377519985, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_20"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": true, ""use_residual"": true, ""weight_decay"": 1.4059763936272707e-05}"
student-mat,21,42,40,0.7627118644067796,0.6910170917002036,13,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.00018728138179837327, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_21"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 1.281464348309433e-06}"
student-mat,22,42,40,0.7627118644067796,0.6981933075720718,22,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0001339359057356413, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_22"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 1.8682259347157285e-06}"
student-mat,23,42,40,0.7288135593220338,0.6675209500376783,17,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.15000000000000002, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00010077867495486387, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_23"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 4.298661809827094e-06}"
student-mat,24,42,40,0.7627118644067796,0.6926949256361021,13,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.2, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.00022147745499214344, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_24"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 6.136711447668378e-06}"
student-mat,25,42,40,0.7627118644067796,0.6838404364720153,6,"{""batch_size"": 16, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.2, ""feature_set"": ""deep_engineered"", ""kernel_size"": 5, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0003878524045246438, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_25"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 2.4108739725435814e-06}"
student-mat,26,42,40,0.15254237288135594,0.052941176470588235,1,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 32, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.25, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""class_weight"", ""lr"": 0.00020967678796209054, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_26"", ""num_bilstm_layers"": 2, ""num_conv_layers"": 3, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 7.397204408657513e-06}"
student-mat,27,42,40,0.7796610169491526,0.6979529905845695,10,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.35, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0029342267840395575, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_27"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 1.826393132233509e-06}"
student-mat,28,42,40,0.7627118644067796,0.6765494818126396,15,"{""batch_size"": 64, ""bilstm_hidden"": 64, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.35, ""feature_set"": ""paper"", ""kernel_size"": 3, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0029704325056516645, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_28"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 1.7703635179057945e-06}"
student-mat,29,42,40,0.6949152542372882,0.6787351695321335,17,"{""batch_size"": 16, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.4, ""feature_set"": ""deep_engineered"", ""kernel_size"": 5, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.001456243811098117, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_29"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""none"", ""patience"": 5, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 1.9071613525994902e-06}"
student-mat,30,42,40,0.7627118644067796,0.6954615000192211,6,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.4, ""feature_set"": ""paper"", ""kernel_size"": 3, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.002710488447616895, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_30"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 1.1877562104181792e-05}"
student-mat,31,42,40,0.7288135593220338,0.6801533189917944,9,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.4, ""feature_set"": ""paper"", ""kernel_size"": 3, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.00260751824610731, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_31"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 4.467772417863001e-06}"
student-mat,32,42,40,0.7627118644067796,0.6765494818126396,9,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.45000000000000007, ""feature_set"": ""paper"", ""kernel_size"": 3, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0020556918830353242, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_32"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 1.2701648067322287e-05}"
student-mat,33,42,40,0.7288135593220338,0.6635818904203659,12,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.30000000000000004, ""feature_set"": ""paper"", ""kernel_size"": 3, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0021914755037238543, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_33"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 2.1336486769520586e-05}"
