class_label,precision,recall,threshold
1,0.5066666666666667,1.0,0.008721535
1,0.5277777777777778,1.0,0.013953285
1,0.5352112676056338,1.0,0.016085798
1,0.5428571428571428,1.0,0.018969133
1,0.5671641791044776,1.0,0.019268693
1,0.5757575757575758,1.0,0.027813194
1,0.6031746031746031,1.0,0.033315513
1,0.6229508196721312,1.0,0.036970846
1,0.6440677966101694,1.0,0.041505054
1,0.6551724137931034,1.0,0.058445618
1,0.6607142857142857,0.9736842105263158,0.069696665
1,0.6727272727272727,0.9736842105263158,0.08609117
1,0.6851851851851852,0.9736842105263158,0.10473034
1,0.6981132075471698,0.9736842105263158,0.15336125
1,0.7115384615384616,0.9736842105263158,0.17299743
1,0.7254901960784313,0.9736842105263158,0.17925641
1,0.7446808510638298,0.9210526315789473,0.19771129
1,0.813953488372093,0.9210526315789473,0.21473175
1,0.825,0.868421052631579,0.2643722
1,0.868421052631579,0.868421052631579,0.2764992
1,0.8918918918918919,0.868421052631579,0.3571019
1,0.9166666666666666,0.868421052631579,0.47377795
1,0.9705882352941176,0.868421052631579,0.49452934
1,0.9696969696969697,0.8421052631578947,0.5355354
1,0.96875,0.8157894736842105,0.53775215
1,0.9666666666666667,0.7631578947368421,0.58780193
1,1.0,0.7631578947368421,0.644583
1,1.0,0.7105263157894737,0.69163895
1,1.0,0.6578947368421053,0.7254436
1,1.0,0.6052631578947368,0.828961
1,1.0,0.5526315789473685,0.8412312
1,1.0,0.5263157894736842,0.8621748
1,1.0,0.47368421052631576,0.88140213
1,1.0,0.42105263157894735,0.89433223
1,1.0,0.39473684210526316,0.9045529
1,1.0,0.34210526315789475,0.9115832
1,1.0,0.3157894736842105,0.932966
1,1.0,0.2631578947368421,0.94460934
1,1.0,0.23684210526315788,0.94472754
1,1.0,0.18421052631578946,0.9458666
1,1.0,0.05263157894736842,0.955646
1,1.0,0.0,
2,0.189873417721519,1.0,4.0925945e-05
2,0.19230769230769232,1.0,4.7124908e-05
2,0.19480519480519481,1.0,7.224946e-05
2,0.19736842105263158,1.0,9.4159885e-05
2,0.2054794520547945,1.0,0.00013968119
2,0.20833333333333334,1.0,0.00018697079
2,0.2112676056338028,1.0,0.00026907754
2,0.21428571428571427,1.0,0.00029316338
