outer_fold,number,state,value,params,fold_f1_macro
0,20,TrialState.COMPLETE,0.79782279204264,"{'loss': 'weighted_ce', 'learning_rate': 0.005282684376648253, 'weight_decay': 2.3996449504885383e-05, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.7031505534285885, 'resampling_k_neighbors': 3, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.4034943621841749, 'sequence_dropout': 0.1379757081305592, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 3}","[0.789124350259896, 0.7855517070757051, 0.8187923187923188]"
0,21,TrialState.COMPLETE,0.8478510176254125,"{'loss': 'weighted_ce', 'learning_rate': 0.01350122767642555, 'weight_decay': 8.413031741792465e-06, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.8334540589788949, 'resampling_k_neighbors': 7, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.32471690629837324, 'sequence_dropout': 0.1149588399474773, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.8238302298369039, 0.8309941520467836, 0.8887286709925498]"
0,22,TrialState.PRUNED,0.7087038848986822,"{'loss': 'weighted_ce', 'learning_rate': 0.005533131338056244, 'weight_decay': 0.00015634568272030502, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.7196310490881938, 'resampling_k_neighbors': 7, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.2878113652319661, 'sequence_dropout': 0.16272968318598943, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}",
0,23,TrialState.COMPLETE,0.8349541532321686,"{'loss': 'weighted_ce', 'learning_rate': 0.007359363718827466, 'weight_decay': 7.094276490867843e-05, 'batch_size': 16, 'oversample_method': 'smote', 'class_weight_mode': 'none', 'smote_ratio': 0.9656429959094749, 'resampling_k_neighbors': 2, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.3275828573111854, 'sequence_dropout': 0.14959411146024995, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.7947809878844362, 0.8309941520467836, 0.8790873197652859]"
0,24,TrialState.COMPLETE,0.8150370493776679,"{'loss': 'weighted_ce', 'learning_rate': 0.009162126067368801, 'weight_decay': 1.7530900762840042e-06, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.8883751722558532, 'resampling_k_neighbors': 6, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.3838726862393316, 'sequence_dropout': 0.16188371643943425, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 3}","[0.7897093479968579, 0.8336689630807278, 0.8217328370554177]"
0,25,TrialState.COMPLETE,0.855464469934511,"{'loss': 'weighted_ce', 'learning_rate': 0.00686314888536825, 'weight_decay': 3.597502036884398e-07, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.6210315545727301, 'resampling_k_neighbors': 7, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.4719507931863648, 'sequence_dropout': 0.08549113150417775, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.7978625753999475, 0.8572772256982782, 0.9112536087053075]"
0,26,TrialState.COMPLETE,0.8545964427118049,"{'loss': 'weighted_ce', 'learning_rate': 0.007752822307653341, 'weight_decay': 2.247736326140337e-07, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.6083469955617659, 'resampling_k_neighbors': 5, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.3248684129601189, 'sequence_dropout': 0.07209311785024863, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.8263300922071598, 0.7978014494868427, 0.9396577864414123]"
0,27,TrialState.COMPLETE,0.872493846016809,"{'loss': 'weighted_ce', 'learning_rate': 0.014856506050273015, 'weight_decay': 3.5876109763447456e-06, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.5647714346181748, 'resampling_k_neighbors': 6, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.5270224656929541, 'sequence_dropout': 0.08770908722363803, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 3}","[0.8366211745244003, 0.8572772256982782, 0.9235831378277485]"
0,28,TrialState.COMPLETE,0.8317910970074847,"{'loss': 'weighted_ce', 'learning_rate': 0.01651732905303439, 'weight_decay': 1.058816043495044e-06, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.4553168195173928, 'resampling_k_neighbors': 5, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.45803778901498265, 'sequence_dropout': 0.16097599291242282, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 5}","[0.7765141914079882, 0.8506825977537532, 0.8681765018607125]"
0,29,TrialState.COMPLETE,0.8653770649952675,"{'loss': 'weighted_ce', 'learning_rate': 0.009690746045927697, 'weight_decay': 2.741111230861475e-06, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.5274092010327778, 'resampling_k_neighbors': 7, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.4984280636131281, 'sequence_dropout': 0.059156929980272055, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 3}","[0.8543472014276424, 0.8152719091513386, 0.9265120844068213]"
