dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,rows
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,0,3407,0.7088607594936709,0.7643467643467643,0.7235982112143103,0.7643467643467643,0.7197047277692438,0.7443469059842458,0.7088607594936709,0.6974761321433431,0.8446047304545186,0.9002505356278941,0.6161572431541043,0.393387298116221,0.1488100287537937,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,3,7319,0.7215189873417721,0.7545209176788124,0.7164502164502164,0.7545209176788124,0.7245334702961822,0.7339032275741136,0.7215189873417721,0.7153621605455974,0.7976900183609983,0.8890425965241434,0.6030424579440463,0.3731367153296275,0.0982376245613952,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,4,7319,0.759493670886076,0.7942869995501575,0.7482184833509171,0.7942869995501575,0.7561843216884792,0.7857555048073713,0.759493670886076,0.7601655218683648,0.8639037606765637,0.9086120589788512,0.6135671542040971,0.3966637351778676,0.16459247743750371,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,1,7319,0.7341772151898734,0.7857142857142857,0.7666666666666666,0.7857142857142857,0.7506095437129919,0.7794303797468355,0.7341772151898734,0.7251035011838154,0.853152208394954,0.9093654249314627,0.581591270830156,0.37261294430144837,0.06678690238781794,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,2,7319,0.7215189873417721,0.7705802968960863,0.7193043884220356,0.7705802968960863,0.735925925925926,0.7224320107789952,0.7215189873417721,0.7160618846694796,0.8838956781787943,0.9227416507679514,0.5512406413991441,0.35008822795340755,0.12016213918758571,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,0,7319,0.6962025316455697,0.7014652014652015,0.7246753246753247,0.7014652014652015,0.7026593806921676,0.7108992273549235,0.6962025316455697,0.6941025108943765,0.8341261802440663,0.8960472965189945,0.6110950101250394,0.3843057503871559,0.09423328195021295,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,3,42,0.810126582278481,0.8684210526315789,0.8240740740740741,0.8684210526315789,0.8166502984059832,0.861111111111111,0.810126582278481,0.8015105338603052,0.9594660830859357,0.9635816521684046,0.5687406161894243,0.33769277575184553,0.2490446563501233,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,4,42,0.8481012658227848,0.8772379667116509,0.831800766283525,0.8772379667116509,0.8442067736185382,0.8655754401280372,0.8481012658227848,0.8472212820686388,0.9697195851145404,0.9787851253183106,0.4154886729948851,0.23487895877075082,0.20029346681471163,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,1,42,0.8354430379746836,0.8693528693528694,0.8759259259259259,0.8693528693528694,0.8603362595882466,0.8665260196905765,0.8354430379746836,0.8367265484811245,0.9553170070376286,0.9722602345243855,0.4781732975382598,0.2654725398948989,0.20722768464026464,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,2,42,0.8481012658227848,0.874493927125506,0.8418615984405458,0.874493927125506,0.8533969263381028,0.852080094751647,0.8481012658227848,0.8470016703225937,0.9176205168740079,0.9440725428566639,0.5109781831742676,0.30276592198148905,0.16724507229869687,79
