dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,threshold,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,tn,fp,fn,tp,rows
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,1.0,7319,0.8276923076923077,0.8216764757640342,0.8136825580434603,0.8216764757640342,0.8171033675490726,0.8308854130253782,0.8276923076923077,0.8287755752261425,0.8918480647263948,0.907482360643106,0.3418189819728121,0.1066896252144338,0.010390027064210118,,0.7488226059654631,0.7989949748743719,0.773095623987034,0.8785425101214575,0.8443579766536965,0.8611111111111112,0.8443579766536965,2604,480,360,1431,4875
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,2.0,42,0.7185412529337426,0.6994852462780818,0.7325335420971472,0.6994852462780818,0.6997411813999015,0.7285939655365768,0.7185412529337426,0.7080018188920438,0.7650161904504051,0.7765890324002529,0.564842115620337,0.1923190239893452,0.015256222441420051,,0.7683649289099526,0.5261663286004057,0.6246087165904166,0.6967021552843418,0.872804163955758,0.7748736462093863,0.872804163955758,2683,391,1168,1297,5539
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,2.0,1201,0.7185412529337426,0.6994852462780818,0.7325335420971472,0.6994852462780818,0.6997411813999015,0.7285939655365768,0.7185412529337426,0.7080018188920438,0.7650161904504051,0.7765890324002529,0.564842115620337,0.1923190239893452,0.015256222441420051,,0.7683649289099526,0.5261663286004057,0.6246087165904166,0.6967021552843418,0.872804163955758,0.7748736462093863,0.872804163955758,2683,391,1168,1297,5539
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,2.0,2026,0.7185412529337426,0.6994852462780818,0.7325335420971472,0.6994852462780818,0.6997411813999015,0.7285939655365768,0.7185412529337426,0.7080018188920438,0.7650161904504051,0.7765890324002529,0.564842115620337,0.1923190239893452,0.015256222441420051,,0.7683649289099526,0.5261663286004057,0.6246087165904166,0.6967021552843418,0.872804163955758,0.7748736462093863,0.872804163955758,2683,391,1168,1297,5539
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,2.0,3407,0.7185412529337426,0.6994852462780818,0.7325335420971472,0.6994852462780818,0.6997411813999015,0.7285939655365768,0.7185412529337426,0.7080018188920438,0.7650161904504051,0.7765890324002529,0.564842115620337,0.1923190239893452,0.015256222441420051,,0.7683649289099526,0.5261663286004057,0.6246087165904166,0.6967021552843418,0.872804163955758,0.7748736462093863,0.872804163955758,2683,391,1168,1297,5539
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,2.0,7319,0.7185412529337426,0.6994852462780818,0.7325335420971472,0.6994852462780818,0.6997411813999015,0.7285939655365768,0.7185412529337426,0.7080018188920438,0.7650161904504051,0.7765890324002529,0.564842115620337,0.1923190239893452,0.015256222441420051,,0.7683649289099526,0.5261663286004057,0.6246087165904166,0.6967021552843418,0.872804163955758,0.7748736462093863,0.872804163955758,2683,391,1168,1297,5539
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,2.0,42,0.7599625818521983,0.7412205950562766,0.7630471199019775,0.7412205950562766,0.7457911422588523,0.7616079077846197,0.7599625818521983,0.7548083102409893,0.8125767376503721,0.8261359244606903,0.5069026863625566,0.16950084527085413,0.018126934226426115,,0.7726269315673289,0.6164685160722149,0.6857702669605682,0.7534673082366261,0.8659726740403383,0.8058120175571364,0.8659726740403383,2662,412,871,1400,5345
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,2.0,1201,0.7599625818521983,0.7412205950562766,0.7630471199019775,0.7412205950562766,0.7457911422588523,0.7616079077846197,0.7599625818521983,0.7548083102409893,0.8125767376503721,0.8261359244606903,0.5069026863625566,0.16950084527085413,0.018126934226426115,,0.7726269315673289,0.6164685160722149,0.6857702669605682,0.7534673082366261,0.8659726740403383,0.8058120175571364,0.8659726740403383,2662,412,871,1400,5345
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,2.0,2026,0.7599625818521983,0.7412205950562766,0.7630471199019775,0.7412205950562766,0.7457911422588523,0.7616079077846197,0.7599625818521983,0.7548083102409893,0.8125767376503721,0.8261359244606903,0.5069026863625566,0.16950084527085413,0.018126934226426115,,0.7726269315673289,0.6164685160722149,0.6857702669605682,0.7534673082366261,0.8659726740403383,0.8058120175571364,0.8659726740403383,2662,412,871,1400,5345
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,2.0,3407,0.7599625818521983,0.7412205950562766,0.7630471199019775,0.7412205950562766,0.7457911422588523,0.7616079077846197,0.7599625818521983,0.7548083102409893,0.8125767376503721,0.8261359244606903,0.5069026863625566,0.16950084527085413,0.018126934226426115,,0.7726269315673289,0.6164685160722149,0.6857702669605682,0.7534673082366261,0.8659726740403383,0.8058120175571364,0.8659726740403383,2662,412,871,1400,5345
