dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,early,class_weight,logistic_regression,2,0.4864864864864865,0.49116122610098517,0.5840089052663903,0.48248840048840047,0.65,0.4642857142857143,4.77242724156815,-0.6697515111840189,0.5848668408725523
student-por,early,class_weight,random_forest,2,0.5675675675675675,0.40141263057929727,0.37444342085060645,0.37436638537271455,0.25,0.3125,4.184338329854227,-0.2835913994476571,0.68996138996139
student-por,early,class_weight,xgboost,2,0.4864864864864865,0.47247748472896717,0.54428066943037,0.47869899965783874,0.65,0.5148514851485149,4.553839230523157,-0.5202975701931456,0.4991959709688503
student-por,early,class_weight,mlp,2,0.28185328185328185,0.33762576282368467,0.3983264240749271,0.2786344922776707,0.3,0.27586206896551724,5.914447986134883,-1.5644937601843045,0.43065008360926593
student-por,early,smotenc,logistic_regression,1,0.5230769230769231,0.4953604472546707,0.5605280006025684,0.503644649113094,0.7,0.5490196078431373,4.632141056707014,-0.5658588311561084,0.6863248412316573
student-por,early,smotenc,random_forest,1,0.6,0.5017724867724868,0.5066113056905058,0.5016064301593114,0.55,0.5176470588235295,4.087386789775439,-0.21921564827861895,0.6220512820512821
student-por,early,smotenc,xgboost,1,0.5192307692307693,0.49326700286220526,0.558942492373743,0.500524113541844,0.6,0.4897959183673469,4.541369668011894,-0.5050910181253581,0.5113414959265635
student-por,early,smotenc,mlp,1,0.5,0.4790416973043168,0.5465079275411441,0.48194673206439836,0.675,0.5046728971962616,4.846092795708248,-0.7138488053845748,0.5980285191293737
student-por,early,smotenc,logistic_regression,2,0.4671814671814672,0.45065729212070677,0.5197029018885306,0.44995527911835076,0.575,0.3770491803278688,4.9932386716871875,-0.8278386817207666,0.6438029460419505
student-por,early,smotenc,random_forest,2,0.5019305019305019,0.3954878048780488,0.39676032550284046,0.396076986165758,0.35,0.345679012345679,4.534296589311904,-0.5072769616977286,0.6616473616473616
student-por,early,smotenc,xgboost,2,0.5482625482625483,0.4777461117306642,0.4780976508521419,0.47325609306463184,0.35,0.3835616438356164,4.262048558505395,-0.3317110395394156,0.5217032768551447
student-por,early,smotenc,mlp,2,0.44015444015444016,0.42108443648597665,0.4938430830646399,0.4238052800893986,0.65,0.4297520661157025,4.982885768222123,-0.8202669148239752,0.5056744181895384
student-por,early,random_oversampling,logistic_regression,1,0.47692307692307695,0.4839915696562278,0.5474117802131585,0.4804022447832961,0.675,0.5567010309278351,4.670282481985266,-0.5917518138447304,0.6302835462585771
student-por,early,random_oversampling,random_forest,1,0.5807692307692308,0.4761881994012043,0.46106183858697697,0.46743961352657,0.325,0.3466666666666667,4.22674633913423,-0.30377132345420077,0.6048717948717948
student-por,early,random_oversampling,xgboost,1,0.4807692307692308,0.4944491096982056,0.57312356419237,0.4852824309346049,0.65,0.5252525252525253,4.644475626607792,-0.5742091426464768,0.47658300674878634
student-por,early,random_oversampling,mlp,1,0.4076923076923077,0.4174823633156966,0.47182615900274927,0.39432771690493135,0.4,0.3404255319148936,5.267918140827697,-1.0251961338111784,0.41736541040769387
student-por,early,random_oversampling,logistic_regression,2,0.47876447876447875,0.45988505747126435,0.5364424996161522,0.46382284220777475,0.6,0.42857142857142855,4.783841044091571,-0.6777478631404434,0.6121608012553462
student-por,early,random_oversampling,random_forest,2,0.5173745173745173,0.4085939486397152,0.40915860586519265,0.40847154275189657,0.35,0.34146341463414637,4.444205806549158,-0.4479765817022967,0.6631917631917632
student-por,early,random_oversampling,xgboost,2,0.47104247104247104,0.45084277238403453,0.5134385076001843,0.4524791458124791,0.525,0.42,4.806085267497404,-0.693386746170265,0.5065154493085205
student-por,early,random_oversampling,mlp,2,0.44015444015444016,0.4263977481110663,0.500748502994012,0.4275419932282678,0.625,0.42016806722689076,4.982885768222123,-0.8202669148239752,0.5061274710409854
