dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,midterm,smotenc,xgboost,1,0.8115384615384615,0.7614617649995008,0.8361625804993786,0.7903313236373549,0.875,0.7526881720430108,2.7128611067681634,0.4629135785942705,0.6899795435942137
student-por,midterm,smotenc,mlp,1,0.5807692307692308,0.5494621540076086,0.6182719466726924,0.5650085015864885,0.725,0.6105263157894737,4.072775466435634,-0.21051448336428513,0.6052089679678357
student-por,midterm,smotenc,logistic_regression,2,0.640926640926641,0.5845725052381399,0.6467603255028406,0.6050111039410773,0.6,0.4948453608247423,3.7959539524691825,-0.05636762836730935,0.6682035834861965
student-por,midterm,smotenc,random_forest,2,0.7799227799227799,0.7323373793962028,0.6874980807615537,0.7041446331477389,0.425,0.5,3.0197228132273777,0.33149082360758486,0.7487773487773488
student-por,midterm,smotenc,xgboost,2,0.8301158301158301,0.7862606983261381,0.8008137571011823,0.7932607250600808,0.7,0.6829268292682927,2.6497614083602925,0.48526137937139546,0.6616949329735229
student-por,midterm,smotenc,mlp,2,0.4247104247104247,0.4384875231557153,0.5300015353907569,0.42501099487952754,0.65,0.3969465648854962,5.14143588254905,-0.9379477405189669,0.5300512854764923
student-por,midterm,random_oversampling,logistic_regression,1,0.6884615384615385,0.6530303883476923,0.7532783489624525,0.6766460515797887,0.8,0.6666666666666666,3.425161422361108,0.1438474748404357,0.6781276168931281
student-por,midterm,random_oversampling,random_forest,1,0.7961538461538461,0.7640690245377953,0.766438820472263,0.7645982026646679,0.75,0.7692307692307693,2.7321096385253423,0.4552649739518321,0.7006410256410256
student-por,midterm,random_oversampling,xgboost,1,0.8038461538461539,0.7544486030401524,0.8321705645313147,0.7840411808454913,0.875,0.7608695652173914,2.7422969036361304,0.4511950742338372,0.6583343001512381
student-por,midterm,random_oversampling,mlp,1,0.5,0.5209846650524617,0.6107021805445711,0.5129020065509402,0.725,0.5858585858585859,4.395364691266331,-0.4098693988612381,0.5364728926926078
student-por,midterm,random_oversampling,logistic_regression,2,0.6525096525096525,0.6092138539058868,0.7001688929832642,0.6312637717498671,0.7,0.5233644859813084,3.7687753917775404,-0.04129485875033212,0.638672783174386
student-por,midterm,random_oversampling,random_forest,2,0.7915057915057915,0.7519791404875598,0.7309419622293873,0.7404261704681874,0.625,0.625,2.91183180811744,0.37840747269704944,0.7458172458172458
student-por,midterm,random_oversampling,xgboost,2,0.8108108108108109,0.758787732860947,0.8250115154306771,0.7843767906306143,0.8,0.6808510638297872,2.8097664751341247,0.4212197995433934,0.641409948295608
student-por,midterm,random_oversampling,mlp,2,0.6447876447876448,0.6156473413569011,0.7000230308613542,0.6288859403410486,0.75,0.5042016806722689,3.9281677574286373,-0.13123612721595723,0.6323214887816762
