candidate_id,seed,outer_fold,qwk,ordinal_mae,one_step_error_rate,two_step_error_rate,brier,nll,ece
N1,155,1,0.8306451612903226,0.19047619047619047,0.19047619047619047,0.0,0.28368405612258074,0.4604463546933263,0.1480832456984638
N1,155,2,0.851687156683233,0.14285714285714285,0.14285714285714285,0.0,0.2764277346886905,0.4594785854088338,0.1458923559251124
N1,155,3,0.8628115170578272,0.14285714285714285,0.14285714285714285,0.0,0.262036789945238,0.45750906682685394,0.16775529230150876
N1,155,4,0.8297297297297297,0.19047619047619047,0.19047619047619047,0.0,0.32486760028151923,0.540825292995929,0.1734554188652556
N2,42,0,0.8710327455919396,0.125,0.125,0.0,0.1794776662183047,0.27047367992020244,0.05649049475626803
N2,42,1,0.8141592920353982,0.19047619047619047,0.19047619047619047,0.0,0.2797915081178246,0.4253061717952626,0.17528364077621403
N2,42,2,0.8389570552147239,0.15873015873015872,0.15873015873015872,0.0,0.23236899296764169,0.3834951753494501,0.08332257229995141
N2,42,3,0.8627450980392157,0.12698412698412698,0.12698412698412698,0.0,0.19112543662478845,0.2947200129924169,0.03091549874804188
N2,42,4,0.7778337531486146,0.2222222222222222,0.2222222222222222,0.0,0.27741127729490433,0.4069070183081577,0.08538672791821468
N2,123,0,0.8909444985394352,0.109375,0.109375,0.0,0.17604853256028757,0.2756354717783955,0.06465092658918209
N2,123,1,0.8205128205128205,0.20634920634920634,0.20634920634920634,0.0,0.25894883247980943,0.4038075721008055,0.07736776130449699
N2,123,2,0.8551724137931034,0.14285714285714285,0.14285714285714285,0.0,0.19053724606489605,0.30502638350861605,0.046166031017819555
N2,123,3,0.7975460122699386,0.1746031746031746,0.1746031746031746,0.0,0.22358880315391183,0.35295346191882637,0.13336559882632984
N2,123,4,0.842249032551787,0.1746031746031746,0.1746031746031746,0.0,0.22828305777070063,0.35064939675254264,0.03725789652338058
N2,155,0,0.8231155778894472,0.171875,0.171875,0.0,0.19716610629032955,0.31019990821181864,0.0841629238631516
N2,155,1,0.8037383177570093,0.19047619047619047,0.19047619047619047,0.0,0.27614015939498865,0.43432975861195944,0.05284249865818829
N2,155,2,0.8301886792452831,0.1746031746031746,0.1746031746031746,0.0,0.23335305034275086,0.375639040402333,0.06461214587838436
N2,155,3,0.7923284387174109,0.1746031746031746,0.1746031746031746,0.0,0.20817867600763892,0.3247193622350537,0.0649197314762636
N2,155,4,0.86875,0.12698412698412698,0.12698412698412698,0.0,0.20321339791334078,0.31757830828424,0.08590811581557019
N3,42,0,0.8767453057294174,0.125,0.125,0.0,0.21314688215880148,0.3757489161920242,0.12766687776153873
N3,42,1,0.0,0.8571428571428571,0.47619047619047616,0.19047619047619047,0.6687782016822625,1.11233946478873,0.2664398742493849
N3,42,2,0.8626120668766659,0.14285714285714285,0.14285714285714285,0.0,0.28163978648929766,0.48537365103383817,0.19883171702238508
N3,42,3,0.9015112037519541,0.09523809523809523,0.09523809523809523,0.0,0.16728490043196245,0.30513180351887587,0.12730096463749044
N3,42,4,0.7778337531486146,0.2222222222222222,0.2222222222222222,0.0,0.2660288114316434,0.41657271569770027,0.10450910160989337
N3,123,0,0.8646616541353384,0.140625,0.140625,0.0,0.31839369238738174,0.5273301863954054,0.2606895786950582
N3,123,1,0.8421052631578947,0.19047619047619047,0.19047619047619047,0.0,0.3037630822301745,0.4835420593903581,0.1348320803230297
N3,123,2,0.8247787610619469,0.1746031746031746,0.1746031746031746,0.0,0.27322291538291704,0.47295053324748587,0.15134859942275156
N3,123,3,0.8570708343836653,0.14285714285714285,0.14285714285714285,0.0,0.24235472296370364,0.41592022254012195,0.1909805578182655
N3,123,4,0.8200395517468688,0.20634920634920634,0.20634920634920634,0.0,0.31031562494214543,0.49437131238245907,0.12734083765251059
N3,155,0,0.8646616541353384,0.140625,0.140625,0.0,0.29876835470134083,0.5109100045740234,0.2034032267037044
N3,155,1,0.0,0.8571428571428571,0.47619047619047616,0.19047619047619047,0.7128099973279474,1.1713891177271012,0.12164976767131264
N3,155,2,0.8247787610619469,0.1746031746031746,0.1746031746031746,0.0,0.26397009108578734,0.4478031212942239,0.12566448870312882
